timestamp,attack_type,description,payload,contract_type,expected_gunicorn_block,result,http_status,response_body
2025-10-12T18:22:01.721066,Cmd Injection,Logical OR,|| ping -c 4 evil.com,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.727586,Cmd Injection,Logical OR,|| ping -c 4 evil.com,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.835978,Cmd Injection,Backticks,`uname -a`,Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""Command Injection"", ""status"": ""pattern_received""}"
2025-10-12T18:22:01.842135,Cmd Injection,Backticks,`uname -a`,Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""Command Injection"", ""status"": ""pattern_received""}"
2025-10-12T18:22:01.947326,Cmd Injection,Command Substitution,$(reboot),Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:01.952226,Cmd Injection,Command Substitution,$(reboot),Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.060146,Cmd Injection,Newline Separator,"id
cat /etc/hosts",Weak Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.063643,Cmd Injection,Newline Separator,"id
cat /etc/hosts",Strict Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.169347,Path Traversal,Parent Directory,../../etc/passwd,Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""Path Traversal"", ""status"": ""pattern_received""}"
2025-10-12T18:22:02.176177,Path Traversal,Parent Directory,../../etc/passwd,Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""Path Traversal"", ""status"": ""pattern_received""}"
2025-10-12T18:22:02.281855,Path Traversal,Root Directory,/etc/shadow,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.288120,Path Traversal,Root Directory,/etc/shadow,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.395887,Path Traversal,Windows Directory,..\..\..\windows\win.ini,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.402169,Path Traversal,Windows Directory,..\..\..\windows\win.ini,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.511325,Path Traversal,URL Encoded,%2e%2e%2f%2e%2e%2fetc%2fpasswd,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.518049,Path Traversal,URL Encoded,%2e%2e%2f%2e%2e%2fetc%2fpasswd,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.627854,Path Traversal,Double URL Encoded,%252e%252e%252fetc%252fpasswd,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.634086,Path Traversal,Double URL Encoded,%252e%252e%252fetc%252fpasswd,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.741801,Path Traversal,Null Byte,../../etc/passwd%00,Weak Contract,False,ALLOWED,200,"{""pattern_name"": ""Path Traversal"", ""status"": ""pattern_received""}"
2025-10-12T18:22:02.748080,Path Traversal,Null Byte,../../etc/passwd%00,Strict Contract,False,ALLOWED,200,"{""pattern_name"": ""Path Traversal"", ""status"": ""pattern_received""}"
2025-10-12T18:22:02.856970,SSRF,Localhost,http://localhost/admin,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.861289,SSRF,Localhost,http://localhost/admin,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.969000,SSRF,127.0.0.1,http://127.0.0.1:8080,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:02.975762,SSRF,127.0.0.1,http://127.0.0.1:8080,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.085341,SSRF,AWS Metadata Service,http://169.254.169.254/latest/meta-data/,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.091590,SSRF,AWS Metadata Service,http://169.254.169.254/latest/meta-data/,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.200450,SSRF,GCP Metadata Service,http://metadata.google.internal/computeMetadata/v1/,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.206513,SSRF,GCP Metadata Service,http://metadata.google.internal/computeMetadata/v1/,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.315300,SSRF,Internal IP,http://10.0.0.1/,Weak Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.321038,SSRF,Internal IP,http://10.0.0.1/,Strict Contract,False,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.428791,Log Injection,Newline Characters,user=guest%0a%0dmalicious_log_entry,Weak Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.435291,Log Injection,Newline Characters,user=guest%0a%0dmalicious_log_entry,Strict Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.541220,HTTP Header Inj,Response Splitting,value%0d%0aContent-Length:%200%0d%0a%0d%0aHTTP/1.1%20200%20OK,Weak Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.547271,HTTP Header Inj,Response Splitting,value%0d%0aContent-Length:%200%0d%0a%0d%0aHTTP/1.1%20200%20OK,Strict Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.655943,Deserialization,Java RMI Header,JRMI,Weak Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.662215,Deserialization,Java RMI Header,JRMI,Strict Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.769347,Deserialization,Python Pickle,"cposix
system
",Weak Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.776693,Deserialization,Python Pickle,"cposix
system
",Strict Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.885736,Deserialization,.NET Gadget,AAEAAAD/////AQAAAAAAAAAMAgAAAFBTeXN0ZW0,Weak Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
2025-10-12T18:22:03.890795,Deserialization,.NET Gadget,AAEAAAD/////AQAAAAAAAAAMAgAAAFBTeXN0ZW0,Strict Contract,True,BLOCKED,200,"{""status"": ""pattern_not_recognized""}"
